title	type	alias	null1	categories	null2	related	null3	links	disambiguation	image	abstract	sourceurl
gromit	A										Wallace's dog	http://perldoc.perl.org/perldiag.html#%25s-has-too-many-errors
%s has too many errors	A			Perl Diagnostics							<section class="prog__container"><p>(F) The parser has given up trying to parse the program after 10 errors. Further error messages would likely be uninformative.</p></section>	http://perldoc.perl.org/perldiag.html#%25s-has-too-many-errors
Bad symbol for hash	A			Perl Diagnostics							<section class="prog__container"><p>(P) An internal request asked to add a hash entry to something that wasn&#39;t a symbol table entry.</p></section>	http://perldoc.perl.org/perldiag.html#Bad-symbol-for-hash
DirHandle (module)	A			Perl Standard Modules							<section class="prog__container"><p>DirHandle - supply object methods for directory handles</p> <pre class="verbatim"><ol><li>    <span class="l_k" href="http://perldoc.perl.org/functions/use.html">use</span> <span class="w">DirHandle</span><span class="sc">;</span></li><li>    <span class="i">$d</span> = <span class="w">DirHandle</span><span class="w">-&gt;new</span><span class="s">(</span><span class="q">&quot;.&quot;</span><span class="s">)</span><span class="sc">;</span></li><li>    if <span class="s">(</span><span class="l_k" href="http://perldoc.perl.org/functions/defined.html">defined</span> <span class="i">$d</span><span class="s">)</span> <span class="s">{</span></li><li>        while <span class="s">(</span><span class="l_k" href="http://perldoc.perl.org/functions/defined.html">defined</span><span class="s">(</span><span class="i">$_</span> = <span class="i">$d</span><span class="i">-&gt;read</span><span class="s">)</span><span class="s">)</span> <span class="s">{</span> <span class="i">something</span><span class="s">(</span><span class="i">$_</span><span class="s">)</span><span class="sc">;</span> <span class="s">}</span></li><li>        <span class="i">$d</span><span class="i">-&gt;rewind</span><span class="sc">;</span></li><li>        while <span class="s">(</span><span class="l_k" href="http://perldoc.perl.org/functions/defined.html">defined</span><span class="s">(</span><span class="i">$_</span> = <span class="i">$d</span><span class="i">-&gt;read</span><span class="s">)</span><span class="s">)</span> <span class="s">{</span> <span class="i">something_else</span><span class="s">(</span><span class="i">$_</span><span class="s">)</span><span class="sc">;</span> <span class="s">}</span></li><li>        <span class="l_k" href="http://perldoc.perl.org/functions/undef.html">undef</span> <span class="i">$d</span><span class="sc">;</span></li><li>    <span class="s">}</span></li></ol></pre></section>	http://perldoc.perl.org/DirHandle.html
Cwd (module)	A			Perl Standard Modules		[[File::chdir]]					<section class="prog__container"><p>Cwd - get pathname of current working directory</p> <pre class="verbatim"><ol><li>    <span class="l_k" href="http://perldoc.perl.org/functions/use.html">use</span> <span class="w">Cwd</span><span class="sc">;</span></li><li>    <span class="l_k" href="http://perldoc.perl.org/functions/my.html">my</span> <span class="i">$dir</span> = <span class="w">getcwd</span><span class="sc">;</span></li><li></li><li>    <span class="l_k" href="http://perldoc.perl.org/functions/use.html">use</span> <span class="w">Cwd</span> <span class="q">&#39;abs_path&#39;</span><span class="sc">;</span></li><li>    <span class="l_k" href="http://perldoc.perl.org/functions/my.html">my</span> <span class="i">$abs_path</span> = <span class="i">abs_path</span><span class="s">(</span><span class="i">$file</span><span class="s">)</span><span class="sc">;</span></li></ol></pre></section>	http://perldoc.perl.org/Cwd.html
MIME::Base64 (module)	A			Perl Standard Modules		[[MIME::QuotedPrint]]\n[[http://en.wikipedia.org/wiki/Base64#URL_applications]]					<section class="prog__container"><p>MIME::Base64 - Encoding and decoding of base64 strings</p> <pre class="verbatim"><ol><li> <span class="l_k" href="http://perldoc.perl.org/functions/use.html">use</span> <span class="w">MIME::Base64</span><span class="sc">;</span></li><li></li><li> <span class="i">$encoded</span> = <span class="i">encode_base64</span><span class="s">(</span><span class="q">&#39;Aladdin:open sesame&#39;</span><span class="s">)</span><span class="sc">;</span></li><li> <span class="i">$decoded</span> = <span class="i">decode_base64</span><span class="s">(</span><span class="i">$encoded</span><span class="s">)</span><span class="sc">;</span></li></ol></pre></section>	http://perldoc.perl.org/MIME/Base64.html
Variable syntax	A			Perl Diagnostics							<section class="prog__container"><p>(A) You&#39;ve accidentally run your script through <b>csh</b> instead of Perl.  Check the #! line, or manually feed your script into Perl yourself.</p></section>	http://perldoc.perl.org/perldiag.html#Variable-syntax
Malformed UTF-8 character (%s)	A			Perl Diagnostics							<section class="prog__container"><p>(S utf8)(F) Perl detected a string that didn&#39;t comply with UTF-8 encoding rules, even though it had the UTF8 flag on.</p><p>One possible cause is that you set the UTF8 flag yourself for data that you thought to be in UTF-8 but it wasn&#39;t (it was for example legacy 8-bit data).  To guard against this, you can use Encode::decode_utf8.</p><p>If you use the <code class="inline"><span class="j">:</span><span class="i">encoding</span><span class="s">(</span><span class="w">UTF</span>-<span class="n">8</span><span class="s">)</span></code>  PerlIO layer for input, invalid byte sequences are handled gracefully, but if you use <code class="inline"><span class="j">:</span><span class="w">utf8</span></code> , the flag is set without validating the data, possibly resulting in this error message.</p><p>See also <span href="http://perldoc.perl.org/Encode.html#Handling-Malformed-Data">Handling Malformed Data in Encode</span>.</p></section>	http://perldoc.perl.org/perldiag.html#Malformed-UTF-8-character-(%25s)
panic: return, type=%u	A			Perl Diagnostics							<section class="prog__container"><p>(P) We popped the context stack to a subroutine or eval context, and then discovered it wasn&#39;t a subroutine or eval context.</p></section>	http://perldoc.perl.org/perldiag.html#panic%3a-return%2c-type%3d%25u
CPAN::FirstTime (module)	A			Perl Standard Modules							<section class="prog__container"><p>CPAN::FirstTime - Utility for CPAN::Config file Initialization</p> <p>CPAN::FirstTime::init()</p></section>	http://perldoc.perl.org/CPAN/FirstTime.html
